ENVIRONMENTAL PROTECTION DEPARTMENT,,,,,,,,,,,,,,,
"HONG KONG SPECIAL ADMINISTRATIVE REGION, CHINA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Hourly API (1 September 1999 - 30 September 1999),,,,,,,,,,,,,,,
Note: 1. The EPD has been reporting API for individual stations on an hourly basis since 1 July 1999.,,,,,,,,,,,,,,,
           2. Empty cells mean that API data are not available for that period.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Roadside API,,,General API,,,,,,,,,,
Date,Hour,Causeway Bay,Central,Mong Kok,Central/Western,Eastern,Kwai Chung,Kwun Tong,Sha Tin,Sham Shui Po,Tai Po,Tap Mun,Tsuen Wan,Tung Chung,Yuen Long
01/09/1999,0,66,50,37,24,19,38,34,27,29,27,14,28,14,24
,1,66,50,37,24,19,38,35,26,29,27,14,28,14,24
,2,66,50,38,24,19,39,35,27,29,27,14,28,14,24
,3,66,50,38,24,19,38,35,27,29,28,15,28,14,24
,4,66,50,38,24,19,39,34,27,30,28,15,27,14,25
,5,66,50,39,24,19,39,34,27,31,29,15,27,14,24
,6,66,51,40,24,18,39,34,27,32,29,15,27,14,24
,7,66,51,40,24,19,39,34,27,32,30,15,27,14,25
,8,65,50,41,24,18,38,34,27,33,30,16,27,15,25
,9,64,50,42,24,18,38,35,28,33,30,16,27,15,25
,10,64,49,42,24,16,39,35,28,33,30,17,27,16,25
,11,64,48,41,24,16,40,36,28,32,31,17,27,16,26
,12,65,49,41,25,16,40,36,29,33,31,20,28,16,28
,13,65,49,42,25,15,40,36,29,33,32,23,28,19,32
,14,65,49,42,25,16,40,37,29,34,32,22,28,17,32
,15,66,49,43,27,16,40,38,29,35,33,18,29,18,33
,16,66,50,43,27,17,40,40,30,36,41,17,31,19,33
,17,66,50,45,33,19,40,45,32,37,44,17,30,19,34
,18,66,51,46,31,21,41,45,32,38,46,18,30,20,34
,19,66,51,47,33,21,42,44,34,40,45,22,31,28,45
