ENVIRONMENTAL PROTECTION DEPARTMENT,,,,,,,,,,,,,,,
"HONG KONG SPECIAL ADMINISTRATIVE REGION, CHINA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Hourly API (1 November 1999 - 30 November 1999),,,,,,,,,,,,,,,
Note: 1. The EPD has been reporting API for individual stations on an hourly basis since 1 July 1999.,,,,,,,,,,,,,,,
           2. Empty cells mean that API data are not available for that period.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Roadside API,,,General API,,,,,,,,,,
Date,Hour,Causeway Bay,Central,Mong Kok,Central/Western,Eastern,Kwai Chung,Kwun Tong,Sha Tin,Sham Shui Po,Tai Po,Tap Mun,Tsuen Wan,Tung Chung,Yuen Long
01/11/1999,0,,51,,43,,36,48,,46,36,33,,33,35
,1,,51,,42,,36,49,,46,36,33,,32,35
,2,,51,,42,,36,50,,46,35,32,,31,35
,3,,51,,42,,38,51,,45,35,31,,31,35
,4,,52,,42,,39,52,,46,35,30,,31,35
,5,,51,,42,,39,52,,46,35,29,,31,35
,6,,51,,42,,39,51,,45,34,28,,31,35
,7,,51,,42,,39,51,,44,33,27,,31,35
,8,,51,,43,,39,51,,44,33,26,,31,37
,9,,51,,43,,39,51,,44,33,26,,31,37
,10,,51,,43,,40,51,,43,33,28,,31,39
,11,,51,,43,,40,50,,43,34,31,,31,41
,12,,51,,44,,40,50,,43,34,33,,34,42
,13,,52,,44,,41,50,,43,34,35,,33,43
,14,,53,,45,28,41,50,,42,35,37,,35,43
,15,70,54,51,45,35,41,51,38,44,35,37,32,36,44
,16,70,54,53,46,35,41,51,38,44,36,35,32,37,45
,17,71,54,55,45,34,40,50,39,43,37,34,33,38,46
,18,70,54,57,45,33,40,49,40,43,38,33,33,40,46
,19,71,53,57,45,32,39,49,39,43,39,29,33,41,47
,20,71,53,56,44,31,,48,38,42,40,28,33,43,
,21,72,52,55,44,31,,48,37,41,40,26,34,44,
,22,73,52,55,43,30,,48,37,41,41,27,35,46,
,23,73,52,54,43,31,,47,36,41,42,28,35,47,
02/11/1999,0,74,52,55,43,31,,47,36,41,42,28,36,48,
,1,74,52,54,42,32,,46,36,41,43,28,37,49,
,2,73,52,52,41,33,,45,35,41,43,29,38,50,
,3,73,51,51,41,33,,44,,42,43,29,39,51,
,4,73,51,50,41,34,,43,,42,44,30,39,51,
,5,73,52,50,42,33,,43,,42,45,31,40,51,
,6,73,52,50,42,34,,43,,42,45,32,41,51,
,7,74,52,50,43,35,,44,,42,46,33,41,52,
,8,74,52,51,44,35,,44,,43,47,33,42,52,
,9,75,52,51,45,36,,44,,43,47,34,43,52,53
,10,75,53,51,45,37,,44,,43,47,34,43,53,52
,11,76,53,51,45,37,,45,,44,47,35,43,53,52
,12,76,52,51,45,37,,45,,44,47,35,43,52,52
,13,77,52,51,45,38,,46,,44,47,35,43,52,51
,14,77,52,51,44,38,,46,,44,46,35,43,52,51
,15,77,52,51,45,39,,46,,44,47,35,43,52,52
,16,78,53,50,45,39,,45,,44,47,35,43,52,52
,17,79,53,50,46,39,,46,,45,46,36,43,52,52
,18,80,54,50,46,40,,46,,45,45,35,43,51,52
,19,80,54,50,46,40,,46,,45,44,35,43,51,53
,20,80,54,50,46,40,,46,,45,43,35,43,51,53
,21,79,54,50,46,40,,46,,45,42,35,42,51,52
,22,79,54,51,46,40,,47,,44,41,35,42,51,52
,23,80,55,52,46,41,,47,,44,40,35,41,51,52
03/11/1999,0,81,56,51,46,,,46,43,44,40,35,41,50,52
,1,82,55,51,47,,,46,43,44,39,35,41,50,52
,2,83,55,52,47,,,46,42,44,39,35,41,50,52
,3,84,56,52,47,,41,45,42,43,39,35,40,50,52
,4,85,56,52,46,,40,45,41,43,38,34,40,50,52
,5,85,56,52,46,,39,46,41,43,38,34,40,49,51
,6,85,56,53,47,,39,46,41,43,38,34,40,49,51
,7,85,56,54,47,,39,47,41,43,38,35,40,49,51
,8,85,57,54,47,,39,48,41,44,38,35,41,48,51
,9,85,57,55,47,,39,48,41,44,39,35,41,48,50
,10,84,58,56,48,,40,48,42,45,38,36,42,48,50
,11,84,58,56,48,,41,48,43,45,39,39,41,49,51
,12,83,58,56,48,,41,49,43,46,39,44,42,49,51
,13,82,59,55,48,,41,49,44,46,39,45,42,48,51
,14,82,59,54,49,,42,49,44,46,39,48,42,47,51
,15,81,59,55,49,,42,49,44,46,39,49,41,47,50
,16,80,58,56,49,,42,50,45,46,40,49,42,47,51
,17,79,58,57,49,,47,50,45,47,41,41,42,46,51
,18,79,59,58,49,,50,50,45,47,45,40,43,47,51
,19,79,60,59,50,,45,51,47,48,45,38,44,47,52
,20,78,61,59,50,,46,51,48,49,47,38,45,48,52
,21,78,62,60,51,,46,51,49,49,49,39,46,48,52
,22,79,62,61,51,,47,52,50,50,50,40,47,48,53
,23,78,62,62,52,,48,52,51,51,51,43,47,48,53
04/11/1999,0,77,62,63,52,,49,53,51,51,51,48,48,49,54
,1,77,62,64,52,56,50,53,52,52,52,45,49,50,54
,2,77,62,65,53,56,51,54,53,53,52,47,50,50,54
,3,77,61,66,53,56,51,54,53,53,53,47,51,51,55
,4,77,62,66,54,56,51,55,53,54,53,48,52,51,55
,5,78,62,66,54,56,52,55,53,54,54,48,52,52,55
,6,78,64,67,54,56,52,55,54,54,54,49,52,52,55
,7,78,64,68,54,56,52,55,54,54,55,49,53,52,55
,8,78,64,68,54,56,53,55,54,55,55,50,53,53,55
,9,79,63,69,54,56,53,57,54,55,55,50,53,53,56
